id,condition,sceneName,sceneNumber,task,block,trial,Navigate_target,Navigate_actualPath,Navigate_optimalPath,Navigate_excessPath,Navigate_clockwiseTravel,Navigate_duration,
default,default,demo_SimpleSample_50x50,1,TASK_NavigationTask,1,1,Blue Capsule,39.80004,32.56585,7.234184,231.2724,5.861071,
default,default,demo_SimpleSample_50x50,1,TASK_NavigationTask,1,2,Orange Cube,46.13174,37.8426,8.289139,-93.82622,5.548901,
default,default,demo_SimpleSample_50x50,1,TASK_NavigationTask,1,3,Green Cylinder,37.01499,36.90977,0.1052132,-88.425,4.14925,
default,default,demo_SimpleSample_50x50,1,TASK_NavigationTask,1,4,Red Sphere,35.40003,36.47978,-1.079754,-89.64587,4.653175,
