id,condition,sceneName,sceneNumber,task,block,trial,LoopWalk_target,LoopWalk_actualPath,LoopWalk_optimalPath,LoopWalk_excessPath,LoopWalk_clockwiseTravel,LoopWalk_duration,LoopWalk_startX,LoopWalk_startZ,LoopWalk_endX,LoopWalk_endZ,
default,default,loopClosure,1,LoopClosureTask,1,1,C-2.0m-Counter,2.339999,0.4431168,1.896883,-49.64074,2.207546,0.3112451,1.708317,2.644348,1.528793,
default,default,loopClosure,1,LoopClosureTask,1,2,C-3.0m-Clockwise,2.34,0.3271864,2.012813,37.52898,3.446602,0.294941,2.924762,-2.020549,3.262558,
