MTask_999_LagTestOutput File
Time 	Trial 	TargetName 	TargetNumber	HeadX 	HeadZ 	HeadAngle	LFootX 	LFootZ 	LFootAngle 	RFootX 	RFootZ 	RFootAngle	IsPredictedLocation
5621.075	0	None 	None	55.48627	102.9595	296.2269	54.8014	103.1861	257.9967	54.85091	103.0745	253.0026	0
5721.485	0	None 	None	55.48636	102.9596	296.2373	54.80148	103.1864	257.9978	54.85113	103.0748	253.0132	0
5822.204	0	None 	None	55.48642	102.9597	296.239	54.80142	103.1867	257.9939	54.85094	103.0748	253.0222	0
5933.366	0	None 	None	55.4864	102.9596	296.2292	54.80145	103.1867	257.991	54.85109	103.0743	253.0129	0
6044.073	0	None 	None	55.48636	102.9595	296.2338	54.80148	103.1866	257.9882	54.85095	103.0743	253.0126	0
6155.031	0	None 	None	55.4864	102.9599	296.2382	54.80138	103.1861	257.9852	54.8509	103.0742	253.0109	0
6255.614	0	None 	None	55.4865	102.9596	296.2271	54.80153	103.1863	257.9881	54.85107	103.0745	253.0137	0
6365.694	0	None 	None	55.48631	102.9596	296.2368	54.80148	103.1859	257.9897	54.85103	103.0741	253.0137	0
6465.791	0	None 	None	55.48635	102.9596	296.2337	54.80157	103.1859	257.9833	54.85098	103.0743	253.0067	0
6566.202	0	None 	None	55.48628	102.9596	296.2239	54.8015	103.1855	257.983	54.85104	103.0744	253.0187	0
6666.514	0	None 	None	55.48627	102.9595	296.2349	54.80157	103.186	257.9801	54.85094	103.0746	253.0122	0
6777.605	0	None 	None	55.48624	102.9596	296.2225	54.80149	103.1859	257.9995	54.851	103.0745	253.0113	0
6889.004	0	None 	None	55.48642	102.9596	296.2277	54.80153	103.1856	257.9917	54.85104	103.0742	253.0111	0
6998.804	0	None 	None	55.4864	102.9596	296.2274	54.80157	103.1852	257.9965	54.85106	103.0742	253.017	0
7099.021	0	None 	None	55.48621	102.9595	296.236	54.80155	103.1855	257.9968	54.85091	103.0748	253.021	0
7199.808	0	None 	None	55.48628	102.9596	296.2289	54.80152	103.1859	258.0005	54.85098	103.0745	253.022	0
7310.401	0	None 	None	55.48627	102.9596	296.236	54.80148	103.1861	257.9941	54.8511	103.0747	253.019	0
7421.281	0	None 	None	55.48628	102.9596	296.2177	54.80144	103.1866	257.9969	54.85101	103.0751	253.0151	0
7522.35	0	None 	None	55.4862	102.9596	296.2321	54.80139	103.1867	257.9948	54.85099	103.0752	253.0145	0
7631.84	0	None 	None	55.48627	102.9595	296.238	54.80145	103.1868	257.9871	54.85101	103.0747	253.0113	0
7732.206	0	None 	None	55.48623	102.9596	296.2408	54.80142	103.1866	257.9939	54.85104	103.0747	253.0121	0
7832.986	0	None 	None	55.48628	102.9596	296.2299	54.80136	103.186	257.9816	54.85102	103.0747	253.0161	0
7943.324	0	None 	None	55.48622	102.9596	296.2334	54.80158	103.1855	257.9908	54.85099	103.0744	253.0227	0
8054.14	0	None 	None	55.4863	102.9596	296.2348	54.80159	103.1855	257.9906	54.85114	103.0741	253.01	0
8165.214	0	None 	None	55.48622	102.9595	296.23	54.80165	103.1853	257.9962	54.85106	103.0742	253.0129	0
8265.26	0	None 	None	55.48621	102.9596	296.2243	54.80152	103.1856	258.0152	54.85101	103.0743	253.0234	0
8376.456	0	None 	None	55.48632	102.9593	296.3508	54.80161	103.1863	258.0002	54.85099	103.0746	253.0169	0
8476.514	0	None 	None	55.48629	102.9595	296.2034	54.8014	103.1867	257.9895	54.85095	103.0748	253.0127	0
8576.598	0	None 	None	55.48623	102.9597	296.6262	54.80148	103.1864	257.9844	54.85101	103.0747	253.0177	0
8686.855	0	None 	None	55.48476	102.9597	296.8076	54.80138	103.1867	257.9932	54.85106	103.0746	253.0215	0
8787.221	0	None 	None	55.47858	102.964	293.1151	54.80142	103.1867	257.9964	54.85105	103.0748	253.0223	0
8894.133	0	None 	None	55.46515	102.9715	289.8721	54.80156	103.1865	257.9922	54.85103	103.0749	253.03	0
9004.757	0	None 	None	55.44503	102.9731	289.4096	54.80146	103.1865	257.9933	54.85095	103.0751	253.0337	0
9104.854	0	None 	None	55.43402	102.9829	281.0847	54.80147	103.1863	257.9947	54.85105	103.0755	253.028	0
9206.416	0	None 	None	55.452	102.9836	264.3053	54.80155	103.1862	258.0057	54.85098	103.0753	253.0232	0
9308.122	0	None 	None	55.46842	102.9791	248.631	54.80145	103.186	257.9918	54.85102	103.0747	253.0006	0
9408.692	0	None 	None	55.46549	102.996	238.3049	54.80145	103.1857	257.9935	54.85102	103.0743	253.0137	0
9509.533	0	None 	None	55.45547	103.0344	231.7944	54.80159	103.1856	257.9978	54.85106	103.0743	253.0256	0
9621.494	0	None 	None	55.45898	103.0911	232.8658	54.80148	103.1856	257.9897	54.85108	103.0741	253.0134	0
9730.447	0	None 	None	55.48417	103.1425	246.3593	54.80156	103.1857	258.0024	54.85104	103.0746	253.0221	0
9831.874	0	None 	None	55.51591	103.1826	245.6996	54.80152	103.1859	257.9849	54.85101	103.0752	253.0245	0
9942.395	0	None 	None	55.55103	103.2005	252.6986	54.80157	103.1862	257.9886	54.85098	103.0753	253.0255	0
10043.76	0	None 	None	55.59378	103.1907	250.6366	54.80145	103.1863	257.992	54.8509	103.0755	253.0345	0
10154.66	0	None 	None	55.63461	103.1722	227.9141	54.80138	103.1863	257.9926	54.85097	103.0753	253.0136	0
10263.72	0	None 	None	55.64542	103.1573	215.2853	54.80153	103.1862	257.9945	54.85091	103.0751	253.0205	0
10364.14	0	None 	None	55.61105	103.1617	218.0322	54.80155	103.1859	257.9842	54.85099	103.0751	253.024	0
10465.19	0	None 	None	55.54216	103.1871	231.1978	54.80147	103.1859	257.9834	54.85107	103.0748	253.0176	0
10575.25	0	None 	None	55.45224	103.2313	246.0299	54.80151	103.186	257.9873	54.85112	103.0747	253.0243	0
10675.27	0	None 	None	55.37889	103.2686	252.7327	54.80153	103.1857	257.985	54.85109	103.0745	253.0185	0
10776.65	0	None 	None	55.32781	103.2982	252.6134	54.80153	103.1861	257.9882	54.85106	103.0747	253.0235	0
10877.17	0	None 	None	55.29539	103.3235	252.4662	54.80151	103.186	257.9838	54.85111	103.0747	253.0264	0
10985.42	0	None 	None	55.27224	103.3509	251.0033	54.80145	103.1861	257.9999	54.85107	103.0746	253.0233	0
11086.63	0	None 	None	55.24775	103.3771	244.1486	54.80152	103.1866	257.989	54.85101	103.075	253.0236	0
11196.29	0	None 	None	55.22732	103.4095	233.2399	54.80141	103.1868	257.9997	54.85094	103.0752	253.0306	0
11297.53	0	None 	None	55.22657	103.4435	225.3441	54.80131	103.1864	257.9775	54.85091	103.0747	253.0216	0
11408.59	0	None 	None	55.23883	103.4806	221.3855	54.80152	103.1864	257.9847	54.85112	103.0746	253.0322	0
11508.78	0	None 	None	55.24466	103.5158	220.8768	54.8014	103.1863	257.9821	54.85096	103.0748	253.0312	0
11619.36	0	None 	None	55.25117	103.5618	225.8219	54.80141	103.1861	257.9818	54.85109	103.0746	253.0191	0
11728.96	0	None 	None	55.24062	103.6144	231.6033	54.80165	103.1859	257.9831	54.85102	103.0742	253.0251	0
11829.93	0	None 	None	55.22854	103.667	236.5932	54.80157	103.186	257.9879	54.85109	103.0744	253.0277	0
11940.86	0	None 	None	55.22833	103.7248	235.843	54.80153	103.1857	257.9865	54.85114	103.0743	253.0258	0
12040.99	0	None 	None	55.23263	103.7661	230.4435	54.8015	103.1863	257.9882	54.85102	103.0746	253.0291	0
12141.4	0	None 	None	55.23119	103.7941	229.5773	54.8015	103.1864	257.9918	54.85109	103.0744	253.0218	0
12241.95	0	None 	None	55.21996	103.8282	230.9942	54.80148	103.1861	257.9979	54.85109	103.0738	253.0233	0
12351.5	0	None 	None	55.21778	103.86	240.8158	54.80159	103.1854	257.9878	54.85116	103.0738	253.0098	0
12462.36	0	None 	None	55.21246	103.8871	253.2173	54.80152	103.1857	257.9885	54.8511	103.0738	253.0237	0
12562.44	0	None 	None	55.19664	103.8986	257.3006	54.80143	103.1859	257.9728	54.85113	103.0742	253.0226	0
12662.74	0	None 	None	55.20198	103.8809	257.4443	54.80145	103.1864	257.976	54.85111	103.0741	253.0208	0
12762.78	0	None 	None	55.21021	103.8766	255.4614	54.80139	103.1868	257.9675	54.85113	103.0745	253.029	0
12873.65	0	None 	None	55.20994	103.8734	254.9872	54.80126	103.1872	257.9701	54.85105	103.0744	253.0277	0
12974.14	0	None 	None	55.20983	103.8742	255.423	54.80133	103.1868	257.9495	54.8511	103.0744	253.022	0
13084.95	0	None 	None	55.2076	103.8759	255.845	54.80134	103.1868	257.968	54.85096	103.0743	253.0254	0
13185.27	0	None 	None	55.20781	103.8768	255.7322	54.80138	103.1868	257.9859	54.85105	103.0743	253.0259	0
13285.45	0	None 	None	55.179	103.9908	259.2543	54.72774	103.3307	261.6779	54.77003	103.216	256.7119	0
13395.79	0	None 	None	55.38129	103.4751	242.2256	55.13968	102.7127	244.692	55.21358	102.6159	239.7226	0
13495.81	0	None 	None	55.38107	103.4763	242.1264	55.13971	102.7129	244.6882	55.21343	102.6161	239.7086	0
13596.04	0	None 	None	55.32888	103.5743	245.4814	55.04296	102.8261	248.0788	55.11077	102.7252	243.1249	0
13696.8	0	None 	None	55.31043	103.6132	246.9624	55.00492	102.8749	249.486	55.07048	102.7718	244.5142	0
13806.97	0	None 	None	55.29905	103.64	248.0686	54.98119	102.9063	250.3843	55.04517	102.8021	245.4219	0
13917.53	0	None 	None	55.29615	103.6416	248.4705	54.98118	102.9065	250.3739	55.04514	102.802	245.4139	0
14024.85	0	None 	None	55.30259	103.6225	248.3664	54.99953	102.8824	249.6742	55.06486	102.7783	244.7262	0
14135.72	0	None 	None	55.45754	103.3462	238.5827	55.287	102.5641	239.8965	55.36914	102.4726	234.9203	0
14247.32	0	None 	None	55.44612	103.3666	239.1452	55.26144	102.5884	240.695	55.34234	102.4953	235.7327	0
14348.1	0	None 	None	55.40656	103.4346	241.385	55.1843	102.6656	243.1832	55.26097	102.5695	238.2208	0
14449.75	0	None 	None	55.44552	103.3742	239.1775	55.25234	102.5966	240.96	55.33254	102.504	236.0295	0
14551.08	0	None 	None	55.5708	103.2053	232.7418	55.46738	102.411	234.4722	55.55794	102.3275	229.5283	0
14651.18	0	None 	None	55.5698	103.2049	232.7587	55.46764	102.4105	234.4625	55.55785	102.3273	229.5294	0
14761.41	0	None 	None	55.56821	103.2079	232.7353	55.46416	102.4133	234.5769	55.55427	102.3299	229.6208	0
14861.83	0	None 	None	55.56525	103.2125	232.8682	55.45705	102.4188	234.7745	55.54703	102.3351	229.8246	0
14962.3	0	None 	None	55.56541	103.2123	232.8112	55.4572	102.4186	234.7737	55.54704	102.3352	229.8159	0
15068.27	0	None 	None	55.56517	103.2125	232.8222	55.45712	102.4188	234.7755	55.54702	102.3352	229.823	0
15168.41	0	None 	None	55.56506	103.2123	232.8595	55.45715	102.4186	234.7645	55.54712	102.3347	229.8374	0
15268.92	0	None 	None	55.56543	103.2123	232.8062	55.4573	102.4185	234.7637	55.54726	102.3348	229.8197	0
15369.16	0	None 	None	55.56583	103.2122	232.7729	55.45731	102.4184	234.7717	55.54715	102.3349	229.8177	0
15471.42	0	None 	None	55.56581	103.2122	232.8248	55.45748	102.418	234.7769	55.54716	102.3348	229.8222	0
15572.08	0	None 	None	55.56573	103.212	232.7912	55.45752	102.4181	234.7968	55.54695	102.335	229.8297	0
15672.43	0	None 	None	55.56585	103.2122	232.7688	55.45753	102.4182	234.8045	55.54697	102.3352	229.8218	0
15782.59	0	None 	None	55.56601	103.212	232.741	55.45733	102.4184	234.7885	55.54692	102.3353	229.8175	0
15883.34	0	None 	None	55.56607	103.2118	232.7377	55.45743	102.4182	234.7872	55.54696	102.3353	229.8198	0
15983.83	0	None 	None	55.56604	103.2117	232.7444	55.45723	102.4187	234.7722	55.54683	102.3353	229.8251	0
16084.33	0	None 	None	55.56599	103.2116	232.7638	55.45719	102.4187	234.7777	55.54687	102.3356	229.8266	0
16196.62	0	None 	None	55.56604	103.2118	232.7395	55.45747	102.4183	234.783	55.54685	102.3355	229.8167	0
16305.46	0	None 	None	55.56605	103.2115	232.717	55.4576	102.4182	234.7947	55.54675	102.3357	229.8119	0
16405.85	0	None 	None	55.56603	103.2114	232.7415	55.45774	102.4176	234.7953	55.54672	102.3354	229.8194	0
16506.03	0	None 	None	55.5659	103.2114	232.7502	55.45782	102.4177	234.7943	55.54685	102.3354	229.8191	0
16607.17	0	None 	None	55.56605	103.2111	232.7213	55.45794	102.4174	234.8069	55.54678	102.3356	229.8157	0
16715.79	0	None 	None	55.56622	103.211	232.7435	55.4578	102.4176	234.8064	55.54654	102.3358	229.8158	0
16817.14	0	None 	None	55.56627	103.2111	232.7784	55.45779	102.4177	234.8135	55.54687	102.3353	229.8224	0
16917.25	0	None 	None	55.56642	103.2111	232.7497	55.45763	102.4178	234.7997	55.54694	102.3351	229.826	0
17017.79	0	None 	None	55.56661	103.211	232.7457	55.45753	102.4181	234.8069	55.54691	102.3352	229.8303	0
17126.96	0	None 	None	55.56678	103.2109	232.7235	55.45741	102.4182	234.7966	55.54704	102.3351	229.8227	0
17228.39	0	None 	None	55.56695	103.2109	232.7125	55.45721	102.4188	234.7897	55.5469	102.3354	229.8226	0
17337.36	0	None 	None	55.56714	103.2106	232.6964	55.45732	102.4186	234.8015	55.54684	102.3354	229.8326	0
17439.11	0	None 	None	55.56713	103.2108	232.7224	55.45746	102.4181	234.8101	55.5469	102.3352	229.8415	0
17548.7	0	None 	None	55.56727	103.2109	232.7229	55.4576	102.4181	234.808	55.54686	102.3353	229.8319	0
17649.06	0	None 	None	55.56731	103.2108	232.7166	55.45783	102.4174	234.8002	55.54716	102.3349	229.8335	0
17749.08	0	None 	None	55.56733	103.2108	232.699	55.45771	102.4176	234.7862	55.54725	102.3346	229.8064	0
17849.58	0	None 	None	55.56744	103.2107	232.7236	55.45766	102.4179	234.7953	55.54707	102.3348	229.8263	0
17960.12	0	None 	None	55.56733	103.2107	232.7704	55.45761	102.4176	234.8034	55.54726	102.3345	229.8112	0
18060.71	0	None 	None	55.56743	103.2108	232.7602	55.45776	102.4177	234.805	55.54709	102.3348	229.8177	0
18171.33	0	None 	None	55.5673	103.2107	232.778	55.45761	102.418	234.8106	55.54689	102.3351	229.8183	0
18271.5	0	None 	None	55.56712	103.2105	232.7915	55.45735	102.4186	234.8084	55.54688	102.3354	229.818	0
18371.92	0	None 	None	55.56721	103.2105	232.8077	55.45717	102.4188	234.8106	55.54677	102.3354	229.8237	0
18482.59	0	None 	None	55.56683	103.2106	232.8927	55.45729	102.4185	234.8036	55.54675	102.3356	229.8213	0
18582.86	0	None 	None	55.5657	103.2105	232.9521	55.45734	102.4184	234.7922	55.54681	102.3356	229.8188	0
18683.04	0	None 	None	55.56532	103.2106	233.0234	55.45726	102.4185	234.8047	55.54697	102.3352	229.8159	0
18783.08	0	None 	None	55.56617	103.2104	232.8878	55.45734	102.4185	234.7995	55.54734	102.3347	229.8291	0
18883.18	0	None 	None	55.5672	103.2106	232.5864	55.4571	102.4187	234.8036	55.54727	102.3346	229.8122	0
18993.89	0	None 	None	55.56848	103.2101	232.5771	55.45728	102.4183	234.7935	55.54714	102.3348	229.8131	0
19094.11	0	None 	None	55.56902	103.2106	232.5805	55.45727	102.4187	234.7955	55.54711	102.3349	229.8271	0
19194.51	0	None 	None	55.5686	103.2111	232.5854	55.45734	102.4184	234.7966	55.54694	102.3354	229.8208	0
19299.5	0	None 	None	55.56792	103.2109	232.6512	55.4573	102.4184	234.7934	55.54687	102.3354	229.8245	0
19399.87	0	None 	None	55.568	103.2108	232.6077	55.45723	102.4186	234.795	55.54668	102.3356	229.8295	0
19500.72	0	None 	None	55.5686	103.2109	232.6195	55.45737	102.4185	234.8005	55.54684	102.3356	229.8206	0
19611.55	0	None 	None	55.56865	103.2105	232.6059	55.4575	102.4179	234.7943	55.54686	102.3354	229.8292	0
19714.1	0	None 	None	55.56849	103.2104	232.6315	55.45774	102.4177	234.7956	55.54706	102.3351	229.8197	0
19815.22	0	None 	None	55.56853	103.2105	232.5672	55.45763	102.418	234.7892	55.54696	102.3352	229.8214	0
19925	0	None 	None	55.56882	103.2104	232.5491	55.45761	102.418	234.7762	55.54713	102.3352	229.8084	0
20025.35	0	None 	None	55.56881	103.2105	232.5466	55.45769	102.4176	234.7781	55.5474	102.3345	229.8177	0
20126.81	0	None 	None	55.56883	103.2103	232.5511	55.45767	102.4178	234.8019	55.54715	102.3348	229.8253	0
20237.44	0	None 	None	55.56867	103.2104	232.5866	55.45784	102.4176	234.8056	55.54722	102.3347	229.8233	0
20337.51	0	None 	None	55.56855	103.2103	232.5933	55.45765	102.4181	234.7927	55.5471	102.335	229.8427	0
20439.34	0	None 	None	55.56882	103.2103	232.5575	55.45756	102.4178	234.7744	55.54729	102.3347	229.8191	0
20547.78	0	None 	None	55.56927	103.2102	232.542	55.45773	102.4178	234.7659	55.54744	102.3342	229.8288	0
20648.16	0	None 	None	55.56905	103.21	232.5664	55.45775	102.4177	234.7606	55.54746	102.3343	229.8226	0
20748.66	0	None 	None	55.56877	103.2101	232.6075	55.45767	102.4177	234.7839	55.54728	102.3347	229.8187	0
20859.36	0	None 	None	55.56881	103.2102	232.5886	55.45776	102.4178	234.7951	55.5471	102.3351	229.8295	0
20961.34	0	None 	None	55.56893	103.21	232.5805	55.45758	102.4182	234.7919	55.54689	102.3352	229.8271	0
21070.99	0	None 	None	55.56876	103.2099	232.5816	55.45751	102.4181	234.8053	55.54692	102.3354	229.8162	0
21181.88	0	None 	None	55.56868	103.2102	232.5831	55.45734	102.4184	234.8004	55.54671	102.3355	229.8145	0
21292.21	0	None 	None	55.56905	103.21	232.5374	55.45726	102.4186	234.7995	55.5471	102.3351	229.8335	0
21403.16	0	None 	None	55.56912	103.2098	232.5587	55.45723	102.4187	234.7874	55.54696	102.3351	229.8322	0
21503.2	0	None 	None	55.56888	103.2102	232.55	55.45728	102.4186	234.7896	55.54701	102.335	229.8327	0
21603.42	0	None 	None	55.56908	103.21	232.5238	55.45745	102.4183	234.7735	55.54694	102.3353	229.8392	0
21714.3	0	None 	None	55.56962	103.2099	232.5345	55.45738	102.4184	234.7838	55.54707	102.3351	229.8316	0
21814.47	0	None 	None	55.56911	103.2098	232.571	55.45754	102.4183	234.7638	55.54697	102.3351	229.8106	0
21925.27	0	None 	None	55.56894	103.2099	232.5803	55.45756	102.4185	234.7861	55.54674	102.3355	229.822	0
22025.49	0	None 	None	55.56947	103.2098	232.5077	55.45764	102.4178	234.8065	55.5467	102.3357	229.8023	0
22125.62	0	None 	None	55.56981	103.2097	232.4868	55.45749	102.418	234.8026	55.5468	102.3357	229.813	0
