MTask_003_ASMPOutput File
Time 	Trial 	TargetName 	TargetNumber	HeadX 	HeadZ 	HeadAngle	LFootX 	LFootZ 	LFootAngle 	RFootX 	RFootZ 	RFootAngle	IsPredictedLocation
-0.02	0	None	None	54.8784	103.2405	102.896	57	104.4	90	57	104.4	90	0
119.9	0	None	None	54.87839	103.2405	102.8967	55.17523	103.7244	281.9467	54.96173	104.1427	221.7405	0
222.3933	0	None	None	54.8785	103.2407	102.8892	55.18584	103.7181	278.9321	54.97239	104.1453	215.4059	0
344.7666	0	None	None	54.87841	103.2406	102.899	55.22054	103.7056	273.1061	55.18068	104.0546	265.6937	0
449.7415	0	None	None	54.87837	103.2408	102.8926	55.2187	103.7044	270.0416	55.19746	104.0503	265.2918	0
561.9848	0	None	None	54.87831	103.2407	102.8841	55.21759	103.7039	271.1594	55.19914	104.0498	267.8931	0
672.4802	0	None	None	54.87854	103.2406	102.8808	55.21757	103.6978	261.9468	55.22973	104.0429	257.9212	0
782.7429	0	None	None	54.87846	103.2407	102.8731	55.21992	103.6926	255.1238	55.21486	104.0477	266.3594	0
893.7891	0	None	None	54.87841	103.2407	102.8975	55.22177	103.6906	250.9739	55.21335	104.0483	269.091	0
995.1198	0	None	None	54.87843	103.2406	102.8812	55.22183	103.6903	250.3292	55.21579	104.0504	269.1377	0
1098.823	0	None	None	54.87838	103.2406	102.8908	55.22121	103.6905	250.2418	55.21398	104.0541	275.2202	0
1209.435	0	None	None	54.87838	103.2408	102.886	55.22123	103.6913	251.6407	55.22086	104.0564	274.2627	0
1310.993	0	None	None	54.87844	103.2406	102.8859	55.22054	103.6919	252.1068	55.23043	104.0538	276.0472	0
1411.612	0	None	None	54.8785	103.2407	102.8913	55.22165	103.6909	250.484	55.24142	104.0561	283.1008	0
1517.537	0	None	None	54.87844	103.2407	102.8974	55.2233	103.6898	248.7006	55.26686	104.0608	273.4433	0
1618.763	0	None	None	54.87855	103.2407	102.8924	55.22317	103.6896	247.6942	55.27822	104.0728	281.8725	0
1728.881	0	None	None	54.87844	103.2406	102.8945	55.21999	103.6927	253.4509	55.28111	104.0723	282.5353	0
1829.786	0	None	None	54.87845	103.2406	102.8967	55.21797	103.6943	256.6455	55.27969	104.063	280.859	0
1932.708	0	None	None	54.87856	103.2406	102.909	55.21926	103.6942	255.0973	55.2766	104.0599	280.6064	0
2041.802	0	None	None	54.87846	103.2406	102.8999	55.21812	103.6954	257.5166	55.27938	104.0705	292.532	0
2141.974	0	None	None	54.87844	103.2406	102.9027	55.21664	103.7012	267.5254	55.28252	104.0701	332.7435	0
2243.583	0	None	None	54.87845	103.2406	102.9028	55.21712	103.7057	276.5593	55.27244	104.0147	37.28775	0
2354.084	0	None	None	54.87849	103.2406	102.902	55.23021	103.7057	288.7253	55.24966	103.861	166.2612	0
2464.56	0	None	None	54.87841	103.2406	102.9026	55.27596	103.6939	311.191	55.23143	103.7886	164.772	0
2566.619	0	None	None	54.87846	103.2406	102.8896	55.3384	103.6592	303.1195	55.22402	103.7772	168.634	0
2670.025	0	None	None	54.87846	103.2407	102.8886	55.36258	103.6325	292.6787	55.22516	103.7937	65.08639	0
2770.998	0	None	None	54.87846	103.2406	102.8881	55.38208	103.6199	286.6011	55.23835	103.8305	71.64012	0
2881.24	0	None	None	54.87849	103.2407	102.8845	55.39056	103.6099	283.8018	55.26966	103.8665	71.49951	0
2981.603	0	None	None	54.87846	103.2406	102.8819	55.39106	103.5961	272.7054	55.30771	103.8772	76.57113	0
3092.534	0	None	None	54.87838	103.2406	102.8907	55.38944	103.588	267.6337	55.33131	103.8617	87.72115	0
3198.769	0	None	None	54.87846	103.2405	102.8898	55.38961	103.5864	265.2974	55.33556	103.8244	95.67158	0
3308.65	0	None	None	54.87852	103.2405	102.8952	55.39155	103.5846	263.2893	55.32155	103.7702	122.9588	0
3408.991	0	None	None	54.87845	103.2406	102.8994	55.39154	103.5822	261.2959	55.30699	103.7261	135.9042	0
3519.506	0	None	None	54.87848	103.2405	102.8841	55.39486	103.5798	260.6092	55.30288	103.7003	144.5947	0
3620.675	0	None	None	54.87847	103.2407	102.8945	55.39114	103.5793	260.3286	55.30892	103.6989	131.7034	0
3729.068	0	None	None	54.87846	103.2405	102.8871	55.39079	103.5788	259.9561	55.32214	103.708	110.8761	0
3829.645	0	None	None	54.87849	103.2407	102.8791	55.3904	103.5779	258.3466	55.33177	103.7133	111.0824	0
3929.793	0	None	None	54.87843	103.2407	102.8784	55.38904	103.5778	257.8891	55.3325	103.7091	108.9596	0
4030.13	0	None	None	54.87843	103.2407	102.8786	55.38826	103.5783	258.4503	55.32483	103.7002	119.6895	0
4140.835	0	None	None	54.8785	103.2406	102.8944	55.38858	103.5786	258.6946	55.31418	103.6927	134.9487	0
4240.926	0	None	None	54.87849	103.2406	102.875	55.38833	103.5788	259.0482	55.31336	103.6897	126.6179	0
4351.927	0	None	None	54.8784	103.2406	102.8822	55.38839	103.5788	258.966	55.32018	103.6949	122.9422	0
4462.904	0	None	None	54.87833	103.2406	102.8697	55.38849	103.5787	258.9854	55.32714	103.7	109.7579	0
4565.768	0	None	None	54.87841	103.2406	102.8659	55.38822	103.579	259.1216	55.32812	103.7019	114.1036	0
4672.73	0	None	None	54.87848	103.2407	102.8731	55.38834	103.5791	259.1891	55.32283	103.7	118.3527	0
4784.302	0	None	None	-2.121512	-1.159392	102.8716	-1.611506	-0.8209938	259.0376	-1.680728	-0.7054502	121.8683	0
4885.511	0	None	None	-2.121567	-1.159378	102.8752	-1.611504	-0.820968	259.0708	-1.680156	-0.7081488	124.9051	0
4994.133	0	None	None	-2.121507	-1.159354	102.8815	-1.611591	-0.8211105	258.9901	-1.678348	-0.7041768	120.0456	0
5094.703	0	None	None	-2.121613	-1.15936	102.8887	-1.611699	-0.8210824	258.961	-1.676158	-0.6995059	114.7592	0
5195.728	0	None	None	-2.121519	-1.159415	102.8897	-1.611261	-0.8212615	258.8268	-1.675872	-0.6972197	115.775	0
5296.323	0	None	None	-2.121537	-1.159485	102.8858	-1.611014	-0.8213512	258.7606	-1.678791	-0.6998185	115.5259	0
5406.938	0	None	None	-2.121604	-1.159418	102.8858	-1.611432	-0.8212287	258.9126	-1.683873	-0.701076	126.2613	0
5508.061	0	None	None	-2.12155	-1.159397	102.8823	-1.611535	-0.8211365	259.1357	-1.685716	-0.6977766	127.8697	0
5618.425	0	None	None	-2.121539	-1.159335	102.8961	-1.612105	-0.8208784	259.3588	-1.680528	-0.6930903	117.9607	0
5721.031	0	None	None	-2.121557	-1.159298	102.8971	-1.613076	-0.820402	259.5222	-1.676707	-0.6871043	116.7881	0
5830.862	0	None	None	-2.121551	-1.159432	102.887	-1.614048	-0.8201768	259.8633	-1.682742	-0.6785963	118.8341	0
5931.691	0	None	None	-2.12149	-1.159388	102.8965	-1.614661	-0.8201118	259.8416	-1.693901	-0.6729478	120.4488	0
6031.811	0	None	None	-2.12149	-1.159485	102.891	-1.614748	-0.8202233	259.8613	-1.698759	-0.6716763	125.2262	0
6142.144	0	None	None	-2.121507	-1.159479	102.8848	-1.615667	-0.8210257	259.3624	-1.699866	-0.6698754	121.6763	0
