MTask_001_ASMPOutput File
Time 	Trial 	TargetName 	TargetNumber	HeadX 	HeadZ 	HeadAngle	LFootX 	LFootZ 	LFootAngle 	RFootX 	RFootZ 	RFootAngle	IsPredictedLocation
50455.54	1	book	1	2.273072	-0.06415224	241.1033	2.325733	0.02370286	268.7267	2.072795	0.07921481	209.2784	0
50466.66	1	book	1	2.272953	-0.06427073	241.0229	2.325718	0.02367973	268.7556	2.073041	0.07904601	209.2474	0
50477.77	1	book	1	2.272892	-0.06436563	240.951	2.325711	0.02366042	268.7395	2.073241	0.07927179	209.2262	0
50488.88	1	book	1	2.272889	-0.06448436	240.8658	2.325686	0.02364469	268.7377	2.072995	0.0793128	209.2695	0
50499.99	1	book	1	2.272841	-0.06443739	240.7741	2.325681	0.02362704	268.7369	2.073034	0.07934618	209.2943	0
50511.1	1	book	1	2.272817	-0.06443715	240.7046	2.325679	0.02361417	268.7335	2.073064	0.07927036	209.337	0
50522.21	1	book	1	2.272734	-0.06445837	240.6455	2.325667	0.02358675	268.7109	2.073045	0.07923484	209.341	0
50533.32	1	book	1	2.272704	-0.06455755	240.6149	2.325667	0.02357912	268.6912	2.072995	0.07922196	209.3503	0
50544.43	1	book	1	2.272649	-0.064677	240.6227	2.325721	0.02362752	268.7021	2.072942	0.0792706	209.3284	0
50555.55	1	book	1	2.272582	-0.064744	240.6059	2.325728	0.02363181	268.7176	2.072911	0.07923174	209.3336	0
50566.66	1	book	1	2.272447	-0.06484342	240.6018	2.325715	0.02364659	268.7397	2.072886	0.07917571	209.3675	0
50577.77	1	book	1	2.272447	-0.06484342	240.6018	2.325715	0.02364659	268.7397	2.072886	0.07917571	209.3675	0
50588.88	1	book	1	2.272337	-0.06484914	240.5969	2.325705	0.02363658	268.7361	2.072879	0.07910419	209.3719	0
50599.99	1	book	1	2.27228	-0.06477642	240.5507	2.325711	0.02361608	268.6909	2.072729	0.07919049	209.4383	0
50611.1	1	book	1	2.27228	-0.06477642	240.5507	2.325711	0.02361608	268.6909	2.072729	0.07919049	209.4383	0
50622.21	1	book	1	2.272277	-0.064785	240.524	2.32571	0.02364516	268.6835	2.072737	0.07916856	209.4251	0
50633.32	1	book	1	2.272269	-0.06471872	240.5018	2.325764	0.02371001	268.6821	2.072788	0.07919168	209.428	0
50644.44	1	book	1	2.272233	-0.06463742	240.5217	2.325752	0.02371621	268.6776	2.072853	0.07915044	209.4053	0
50655.54	1	book	1	2.272187	-0.06460762	240.5244	2.325759	0.02371716	268.6813	2.07285	0.07921171	209.4278	0
50666.66	1	book	1	2.272123	-0.06468081	240.638	2.325627	0.02373338	268.6624	2.072692	0.07933974	209.4612	0
50677.77	1	book	1	2.272123	-0.06468081	240.638	2.325627	0.02373338	268.6624	2.072692	0.07933974	209.4612	0
50688.88	1	book	1	2.272102	-0.06467104	240.6572	2.325656	0.02371287	268.6791	2.072682	0.0793159	209.5149	0
50699.99	1	book	1	2.272079	-0.06465888	240.6716	2.325691	0.0236547	268.6882	2.072752	0.07924747	209.504	0
50711.1	1	book	1	2.2721	-0.06465507	240.6702	2.32571	0.02364826	268.7029	2.072683	0.07936502	209.5367	0
50722.21	1	book	1	2.272115	-0.06461906	240.6424	2.325698	0.02366734	268.6985	2.072646	0.07943988	209.5666	0
50733.32	1	book	1	2.272177	-0.06462169	240.6001	2.325706	0.02365041	268.6915	2.072601	0.07947135	209.6079	0
50744.43	1	book	1	2.272218	-0.06460381	240.5561	2.325705	0.02364802	268.7193	2.072714	0.07949615	209.5973	0
50755.55	1	book	1	2.272232	-0.0645647	240.528	2.325716	0.02362943	268.7116	2.072688	0.07942033	209.5969	0
50766.66	1	book	1	2.272406	-0.06442261	240.518	2.325738	0.02361798	268.6651	2.072659	0.07937169	209.4982	0
50777.77	1	book	1	2.272543	-0.06438971	240.5372	2.325744	0.02362704	268.6876	2.072671	0.07928681	209.5229	0
50788.88	1	book	1	2.272636	-0.0643878	240.5823	2.325718	0.0236218	268.7038	2.072648	0.07922721	209.5236	0
50799.99	1	book	1	2.272726	-0.06435418	240.606	2.325731	0.02360868	268.7085	2.072652	0.07924581	209.5418	0
50811.1	1	book	1	2.27289	-0.06432867	240.6513	2.325715	0.02359891	268.7008	2.072635	0.07929254	209.5533	0
50822.21	1	book	1	2.273054	-0.06426907	240.6794	2.325714	0.02359295	268.7023	2.072622	0.07936907	209.5555	0
50833.32	1	book	1	2.273054	-0.06426907	240.6794	2.325714	0.02359295	268.7023	2.072622	0.07936907	209.5555	0
50844.43	1	book	1	2.273254	-0.06422591	240.7144	2.325712	0.02358747	268.7039	2.072646	0.07938147	209.5529	0
