MTask_002_ASMPOutput File
Time 	Trial 	TargetName 	TargetNumber	HeadX 	HeadZ 	HeadAngle	LFootX 	LFootZ 	LFootAngle 	RFootX 	RFootZ 	RFootAngle	IsPredictedLocation
5705.249	0	None	None	54.87703	103.2409	72.41386	54.97385	103.7145	325.0898	54.9427	104.2325	264.4786	0
5816.466	0	None	None	54.87692	103.2409	72.41999	54.97249	103.7154	324.8903	54.94378	104.232	263.5767	0
5927.616	0	None	None	54.87709	103.2411	72.41918	54.97379	103.7183	327.4958	54.94667	104.2354	264.6565	0
6030.017	0	None	None	54.87704	103.2411	72.43307	54.97261	103.7177	326.6195	54.94574	104.2364	265.8782	0
6136.485	0	None	None	54.87708	103.2412	72.41954	54.9735	103.7181	327.4261	54.94551	104.2369	265.9454	0
6246.244	0	None	None	54.87703	103.2413	72.42609	54.97426	103.7178	327.3595	54.94515	104.2363	265.7068	0
6357.056	0	None	None	54.87709	103.2412	72.42561	54.97459	103.7173	327.162	54.94427	104.2356	265.4725	0
6459.829	0	None	None	54.87704	103.2413	72.43417	54.97469	103.717	327.0593	54.94419	104.2355	265.427	0
6560.625	0	None	None	54.87703	103.2413	72.43809	54.97499	103.7173	327.113	54.94445	104.2358	265.4786	0
6672.141	0	None	None	54.87699	103.2414	72.43647	54.97481	103.7175	327.1883	54.94436	104.2358	265.4389	0
6773.713	0	None	None	54.87709	103.2415	72.43085	54.97458	103.7174	327.2002	54.94452	104.236	265.4465	0
6880.425	0	None	None	54.87713	103.2415	72.44184	54.97464	103.7174	327.1658	54.94447	104.2359	265.3881	0
6980.599	0	None	None	54.87714	103.2416	72.44648	54.97459	103.7174	327.1571	54.94443	104.2361	265.3758	0
7081.049	0	None	None	54.87709	103.2416	72.44073	54.97457	103.7172	327.1733	54.9445	104.2359	265.3598	0
7181.473	0	None	None	54.87713	103.2416	72.46865	54.97456	103.7173	327.1719	54.94451	104.2358	265.3843	0
7290.488	0	None	None	54.87712	103.2417	72.45893	54.97468	103.7173	327.164	54.94457	104.236	265.3585	0
7390.864	0	None	None	54.87711	103.2417	72.44886	54.97473	103.7173	327.1329	54.94462	104.2358	265.3589	0
7500.349	0	None	None	54.87708	103.2419	72.46854	54.97467	103.7173	327.1345	54.9445	104.236	265.3638	0
7602.741	0	None	None	-2.122884	-1.15824	72.46305	-2.025471	-0.6826565	327.1546	-2.055382	-0.1637981	265.3581	0
7706.174	0	None	None	-2.122925	-1.158197	72.45606	-2.02528	-0.6827891	327.1485	-2.05527	-0.1639755	265.3419	0
7815.604	0	None	None	-2.122874	-1.158133	72.46084	-2.025355	-0.682739	327.1349	-2.055369	-0.1640291	265.3307	0
7926.963	0	None	None	-2.122931	-1.158056	72.46648	-2.025285	-0.6827807	327.1556	-2.055296	-0.1641304	265.3503	0
8037.2	0	None	None	-2.122823	-1.158004	72.47121	-2.025269	-0.6827819	327.1411	-2.055467	-0.1639411	265.3519	0
8138.438	0	None	None	-2.122883	-1.157911	72.46397	-2.025279	-0.6828604	327.1597	-2.05543	-0.1639407	265.331	0
8248.73	0	None	None	-2.122762	-1.157972	72.46249	-2.025225	-0.6828389	327.1548	-2.055367	-0.1643326	265.3011	0
8359.938	0	None	None	-2.122834	-1.158035	72.46578	-2.025237	-0.6829903	327.0735	-2.055449	-0.1640186	265.3125	0
8466.618	0	None	None	-2.122882	-1.15787	72.47246	-2.025279	-0.6826522	327.0647	-2.05551	-0.1639979	265.2983	0
8577.229	0	None	None	-2.122978	-1.157793	72.47941	-2.025388	-0.6827583	327.127	-2.055247	-0.163718	265.3466	0
8677.238	0	None	None	-2.122826	-1.157793	72.47432	-2.025439	-0.6825216	327.129	-2.055009	-0.163353	265.3786	0
8778.451	0	None	None	-2.122841	-1.157721	72.48961	-2.025264	-0.6826179	327.1832	-2.054122	-0.1631491	265.2053	0
8879.087	0	None	None	-2.122794	-1.157766	72.49155	-2.025292	-0.6826034	327.1586	-2.054721	-0.1634271	265.1931	0
8981.039	0	None	None	-2.122873	-1.157676	72.48705	-2.025296	-0.6829183	327.0789	-2.05539	-0.163933	265.035	0
9092.557	0	None	None	-2.122842	-1.157628	72.48367	-2.025223	-0.6828339	327.0729	-2.054923	-0.1642616	264.6075	0
9203.782	0	None	None	-2.122849	-1.157596	72.49078	-2.025673	-0.6833978	326.6762	-2.048437	-0.1691105	259.2511	0
9304.373	0	None	None	-2.122794	-1.157531	72.49233	-2.025906	-0.6836026	326.5085	-2.018379	-0.1824679	267.0443	0
9405.429	0	None	None	-2.122793	-1.157538	72.48295	-2.025733	-0.6834619	326.6808	-1.957246	-0.2175659	273.2878	0
9514.734	0	None	None	-2.122773	-1.157461	72.496	-2.025235	-0.6832259	326.9609	-1.895016	-0.2596011	277.6768	0
9625.416	0	None	None	-2.12267	-1.157444	72.48931	-2.024954	-0.682584	327.2688	-1.865558	-0.2710764	281.5611	0
9726.962	0	None	None	-2.122759	-1.157418	72.48694	-2.025302	-0.6823204	327.1971	-1.870948	-0.2660199	284.5296	0
9837.322	0	None	None	-2.122751	-1.15749	72.49767	-2.025042	-0.6837082	326.7827	-1.872981	-0.2657537	283.7094	0
9948.599	0	None	None	-2.122744	-1.157438	72.49797	-1.989	-0.6924379	325.5025	-1.873134	-0.2632244	285.1438	0
10058.77	0	None	None	-2.122755	-1.157412	72.50181	-1.991878	-0.6958244	326.1462	-1.87354	-0.263341	284.9131	0
10158.85	0	None	None	-2.122706	-1.157293	72.50423	-1.989513	-0.6980746	330.1305	-1.874361	-0.2625405	285.2657	0
10269.88	0	None	None	-2.122797	-1.157289	72.50084	-1.98913	-0.7001333	329.3148	-1.872973	-0.2667263	283.5596	0
10370	0	None	None	-2.122735	-1.157318	72.5133	-1.988764	-0.699247	329.2886	-1.871874	-0.2691493	282.4568	0
10480.23	0	None	None	-2.12274	-1.157207	72.50545	-1.988672	-0.6963218	329.4115	-1.867917	-0.2754319	278.1686	0
10580.65	0	None	None	-2.122785	-1.157198	72.5065	-1.992512	-0.6954945	327.1057	-1.874969	-0.2681286	284.6857	0
10690.97	0	None	None	-2.122788	-1.157102	72.50761	-1.993643	-0.6990397	326.1333	-1.872806	-0.2672827	283.4435	0
10802.21	0	None	None	-2.12273	-1.157176	72.50175	-1.991976	-0.6992333	327.8978	-1.870885	-0.2703373	282.3169	0
10902.23	0	None	None	-2.122773	-1.157081	72.51002	-1.992137	-0.6999177	325.5098	-1.872338	-0.2691324	281.795	0
11002.41	0	None	None	-2.122754	-1.157125	72.49903	-1.987563	-0.6968544	329.5439	-1.873793	-0.2658823	284.1715	0
11102.69	0	None	None	-2.122732	-1.157152	72.50827	-1.990144	-0.6974204	324.2012	-1.872832	-0.2688709	282.4214	0
11203.19	0	None	None	-2.122661	-1.157049	72.50101	-1.984938	-0.6953386	327.0389	-1.871596	-0.2706754	281.4688	0
11303.58	0	None	None	-2.122715	-1.157037	72.51651	-1.990474	-0.6971719	322.4963	-1.8712	-0.270646	282.1016	0
11414.02	0	None	None	-2.122652	-1.156947	72.50774	-1.981149	-0.6932089	328.686	-1.871159	-0.2702973	282.1065	0
11514.95	0	None	None	-2.12263	-1.156954	72.51209	-1.992057	-0.6981127	320.0383	-1.871167	-0.2704955	281.9663	0
11625.29	0	None	None	-2.122744	-1.156935	72.50924	-1.981836	-0.6932442	328.2835	-1.871231	-0.270488	281.9886	0
11725.48	0	None	None	-2.122775	-1.15688	72.51488	-1.99036	-0.6973974	319.6503	-1.871221	-0.2707229	281.9106	0
11831.11	0	None	None	-2.122673	-1.156933	72.50401	-1.978165	-0.6924814	330.1033	-1.871234	-0.270539	282.0066	0
11931.28	0	None	None	-2.122681	-1.15686	72.5027	-1.989664	-0.6972932	320.3352	-1.871227	-0.2704718	281.9815	0
12042.2	0	None	None	-2.122687	-1.156834	72.51472	-1.979055	-0.6928155	333.3419	-1.871186	-0.2704196	282.027	0
12143.34	0	None	None	-2.122684	-1.156821	72.52277	-1.989268	-0.6971748	321.7802	-1.87122	-0.2706941	281.9707	0
12245.55	0	None	None	-2.122647	-1.156723	72.51791	-1.976982	-0.6911272	336.0094	-1.871174	-0.2705574	282.0304	0
12346.35	0	None	None	-2.122737	-1.156802	72.50603	-1.985038	-0.6946427	324.1223	-1.871129	-0.2705843	281.9891	0
12446.54	0	None	None	-2.1227	-1.156743	72.52481	-1.980118	-0.6901157	336	-1.871218	-0.2704494	282.0529	0
12548.54	0	None	None	-2.122675	-1.156724	72.52341	-1.982859	-0.6932089	325.4984	-1.871157	-0.2706193	281.9576	0
12657.85	0	None	None	-2.122612	-1.156719	72.52784	-1.982869	-0.6901994	328.3168	-1.871078	-0.2706046	282.0907	0
12758.15	0	None	None	-2.122667	-1.15652	72.53138	-1.977842	-0.689501	325.3572	-1.871242	-0.2704175	282.0114	0
